"Cost"," teta0"," teta1"
0.41666666666666663,0.004166666666666667,0.0
0.4133680555555555,0.007916666666666666,-1.736111111111111e-05
0.4106960661460342,0.011291739004629629,-5.027488425925925e-05
0.40853144583772066,0.014329441249517747,-9.71143180941358e-05
0.4067776387587021,0.0170635684342247,-0.00015641568030840084
0.4053564660012968,0.01952452998947018,-0.00022686215011638542
0.40420462801884216,0.02173968891614865,-0.00030726909944702623
0.40327087270534706,0.023733666979114814,-0.000396570848683283
0.4025137024616285,0.02552861932640618,-0.0004938087492267477
0.4018995176650882,0.02714448159688734,-0.0005981204599649953
0.40140111348441815,0.028599192272448462,-0.0007087302980355051
0.4009964627887034,0.029908892754778767,-0.0008249405562622258
0.4006677306998815,0.031088107398285315,-0.0009461236904227113
0.40040047670093454,0.03214990550716688,-0.001071715289205472
0.4001830086031852,0.033106047103488544,-0.001201207748446978
0.4000058594700488,0.033967114092091556,-0.0013341445790929845
0.3998613640954966,0.03474262828529529,-0.0014701152853971453
0.39974331608943847,0.03544115760378825,-0.0016087507562300542
0.3996466902284762,0.03607041163822705,-0.00174971911809488
0.3995674176503681,0.036637327637396404,-0.0018927220035954307
0.3995022038347016,0.03714814788200508,-0.002037491193736268
0.3994483812264698,0.03760848930711181,-0.002183785596604055
0.39940378990912745,0.038023406149719816,-0.0023313885287311706
0.39936668098859496,0.03839744632028422,-0.0024801052688186234
0.39933563836574093,0.038734702126875874,-0.0026297608565330633
0.39930951539754683,0.03903885591775717,-0.0027801981118261584
0.3992873836132598,0.0393132211514474,-0.002931275852684204
0.3992684911911613,0.03956077935235551,-0.003082867291429051
0.3992522293382609,0.039784213364167584,-0.003234858591682911
0.3992381050687827,0.039985937271882835,-0.0033871475699015973
0.3992257191635983,0.04016812332623581,-0.003539642526993186
0.39921474832453235,0.040332726170808034,-0.0036922611969900303
0.3992049307251571,0.04048150464204802,-0.0038449298010476054
0.3991960543116332,0.040616041385347586,-0.00399758219621844
0.3991879473301937,0.04073776050596374,-0.004150159109506478
0.39918047065748635,0.04084794345165697,-0.004302607448658383
0.39917351159064274,0.04094774330419402,-0.00445487968200421
0.39916697881925056,0.0410381976391163,-0.004606933280430001
0.3991607983542853,0.04112024009720646,-0.00475873021525786
0.3991549102318649,0.04119471079671606,-0.004910236506432646
0.39914926584436106,0.04126236570248792,-0.005061421815975494
0.39914382577946383,0.04132388505647236,-0.005212259082169295
0.3991385580705232,0.041379880963667494,-0.005362724190395558
0.3991334367798929,0.04143090421809406,-0.005512795676950857
0.3991284408518956,0.04147745044493862,-0.005662454462538954
0.399123553184094,0.041519965627372,-0.00581168361246562
0.3991187598753206,0.04155885107968674,-0.0059604681208610625
